Network Type,Experiment,cd_one_sided,cd_two_sided,hd
MLP,shape_1_MLP_512_hiddim_tda_loss_type_combo_1_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_11_51_22,0.30616637895211457,0.34451151821316167,0.09713366814555126
MLP,shape_1_MLP_512_hiddim_tda_loss_type_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_17_38,0.30643370035067247,0.33956355887938466,0.09713366814555126
MLP,shape_1_MLP_512_hiddim_tda_loss_type_1_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_11_36_32,0.30785288963612056,0.3427724438892875,0.09713366814555126
MLP,shape_1_MLP_512_hiddim_tda_loss_type_2_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_11_44_09,0.3093364065935778,0.34498026533128484,0.07204229112900085
MLP,shape_1_MLP_512_hiddim_tda_loss_type_combo_2_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_11_58_26,0.3085628168534432,0.33904484327845086,0.09713366814555126
MLP,shape_1_MLP_512_hiddim_tda_loss_type_combo_1_2_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_04_45,0.30797864670693026,0.3399983183305247,0.07204229112900085
MLP,shape_1_MLP_512_hiddim_tda_loss_type_combo_1_2_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_11_02,0.30423783758243905,0.3345672769671534,0.09713366814555126
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_combo_1_2_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_13_28_11,0.3309218621964836,1.0387684781682667,1.5053642894383767
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_14_02_19,0.3380138345336397,1.0542436395458648,1.5597605618665848
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_combo_2_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_13_11_39,0.3778763261263856,1.119047427848704,1.5597605618665848
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_2_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_39_14,0.3298377507168633,1.032426984412489,1.526860481195481
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_1_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_24_10,0.3594531166989275,1.076518684314513,1.5597605618665848
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_combo_1_2_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_13_44_26,0.3280565525642576,1.0218461185265872,1.5597605618665848
MLP_IGR,shape_1_MLP_IGR_512_hiddim_tda_loss_type_combo_1_wasserstein_lr_0.0001_eps_10000_sdfL_3000.0_eikonalL_50.0_tdaL_0.5_normalsL_100.0_offL_1000.0_12_55_05,0.32469940780185824,0.9632457030454333,1.5597605618665848
